factor_level,formal_replication_index,formal_structural_seed,step_index,wall_latency_ms
2,0,101,1,0.516185
20,0,101,2,0.879794
20,0,101,26,0.76122
2,0,101,26,0.442578
10,0,101,10,0.437517
20,0,101,5,0.436422
2,0,101,4,0.439587
20,0,101,10,0.8667
5,0,101,12,0.57815
1,0,101,11,0.490642
1,0,101,25,0.27195
1,0,101,5,0.434753
2,0,101,7,0.448539
5,0,101,21,0.455096
50,0,101,13,0.319048
5,0,101,3,0.45264
50,0,101,29,0.239278
20,0,101,13,0.306959
1,0,101,2,0.478263
50,0,101,14,0.425158
2,0,101,17,0.452879
50,0,101,19,0.203955
5,0,101,11,0.440722
2,0,101,29,0.120857
5,0,101,6,0.47312
2,0,101,6,0.920261
1,0,101,12,0.445189
10,0,101,4,0.453533
1,0,101,29,0.120101
5,0,101,23,0.228202
20,0,101,24,0.448394
10,0,101,27,0.454264
20,0,101,18,0.443842
10,0,101,24,0.698705
50,0,101,9,0.428039
20,0,101,22,0.852994
2,0,101,8,0.487019
50,0,101,4,1.425212
1,0,101,27,0.829034
10,0,101,20,0.448763
10,0,101,26,0.428427
2,0,101,5,0.438181
20,0,101,23,0.401494
2,0,101,9,0.432418
50,0,101,25,0.282607
20,0,101,19,0.391305
5,0,101,7,0.444635
50,0,101,26,0.429267
1,0,101,8,0.437809
10,0,101,2,0.476076
5,0,101,30,0.471298
10,0,101,16,0.43337
1,0,101,6,0.795843
50,0,101,32,0.890815
10,0,101,22,0.43821
20,0,101,16,0.432196
2,0,101,28,0.445716
10,0,101,29,0.118817
50,0,101,20,0.445024
50,0,101,24,0.44646
1,0,101,15,0.897278
20,0,101,14,0.885959
2,0,101,23,0.219039
1,0,101,1,0.506511
10,0,101,31,0.24741
5,0,101,19,0.230148
1,0,101,10,0.436329
10,0,101,23,0.218864
10,0,101,13,0.307897
1,0,101,7,0.474577
1,0,101,18,0.436213
5,0,101,20,0.757957
10,0,101,5,0.745627
50,0,101,23,0.221424
10,0,101,30,0.462204
10,0,101,8,0.431556
20,0,101,12,0.442834
20,0,101,1,0.536969
5,0,101,32,0.436067
10,0,101,9,0.436122
10,0,101,17,0.223631
5,0,101,18,0.428572
5,0,101,9,0.879958
2,0,101,18,0.825289
1,0,101,22,0.934701
5,0,101,16,0.431154
2,0,101,21,0.459061
10,0,101,32,0.437364
20,0,101,7,2.052941
50,0,101,5,0.428935
1,0,101,23,0.230153
2,0,101,25,0.272033
50,0,101,18,0.898069
1,0,101,16,0.528513
50,0,101,21,0.453941
20,0,101,17,0.240487
5,0,101,28,0.441536
50,0,101,11,0.441364
20,0,101,31,0.24763
5,0,101,13,0.577155
5,0,101,15,0.76472
1,0,101,4,0.435739
2,0,101,11,0.437399
50,0,101,6,0.456881
20,0,101,9,0.775968
2,0,101,12,0.434834
5,0,101,14,0.424085
2,0,101,3,0.460773
50,0,101,12,0.444821
5,0,101,8,0.439525
5,0,101,1,0.526757
50,0,101,22,0.437519
1,0,101,20,0.445312
20,0,101,11,0.444722
2,0,101,14,0.903364
1,0,101,26,0.44382
50,0,101,27,1.097773
50,0,101,3,0.449822
10,0,101,14,0.433763
50,0,101,1,0.517648
10,0,101,1,0.53274
5,0,101,29,0.117338
2,0,101,16,0.442759
2,0,101,20,0.434655
5,0,101,4,0.852012
2,0,101,30,0.918031
50,0,101,8,0.434752
1,0,101,3,0.451534
1,0,101,19,0.36834
20,0,101,20,0.794822
1,0,101,32,0.439304
1,0,101,17,0.221964
2,0,101,22,0.445698
20,0,101,30,0.458412
20,0,101,25,0.273677
1,0,101,21,0.691128
10,0,101,28,0.438718
10,0,101,3,0.878333
20,0,101,15,0.447455
50,0,101,17,0.221827
2,0,101,27,0.459867
1,0,101,28,0.790342
10,0,101,11,0.443099
1,0,101,31,0.52766
2,0,101,15,0.809166
5,0,101,10,0.430854
20,0,101,4,0.458173
50,0,101,2,0.479825
5,0,101,22,0.442136
2,0,101,13,0.310324
10,0,101,21,0.788452
1,0,101,9,0.443267
1,0,101,24,0.435887
20,0,101,3,0.774408
50,0,101,15,0.435788
5,0,101,5,0.511135
20,0,101,8,0.43372
5,0,101,31,0.246666
1,0,101,14,0.74518
2,0,101,2,0.815151
50,0,101,28,0.455108
10,0,101,12,0.447923
50,0,101,16,0.693539
10,0,101,19,0.2047
20,0,101,6,0.453782
5,0,101,17,0.222499
50,0,101,30,0.461838
2,0,101,32,0.437584
10,0,101,25,0.277804
50,0,101,10,0.440586
1,0,101,13,0.306852
2,0,101,19,0.205798
20,0,101,28,0.44896
5,0,101,24,0.477062
5,0,101,25,0.273513
10,0,101,7,0.928596
50,0,101,31,0.253905
1,0,101,30,3.079036
50,0,101,7,0.436405
10,0,101,18,0.799138
5,0,101,27,0.965918
2,0,101,10,0.763556
5,0,101,26,0.434335
2,0,101,24,0.441129
10,0,101,6,0.44947
20,0,101,32,0.434295
5,0,101,2,0.941589
20,0,101,29,0.118913
20,0,101,27,0.469906
20,0,101,21,0.866421
10,0,101,15,0.432395
2,0,101,1,0.505094
20,0,101,2,0.507289
20,0,101,26,0.723887
2,0,101,26,0.438058
10,0,101,10,1.082943
20,0,101,5,0.73687
2,0,101,4,0.438134
20,0,101,10,0.428351
5,0,101,12,0.435176
1,0,101,11,0.452353
1,0,101,25,0.283742
1,0,101,5,1.127131
2,0,101,7,0.437093
5,0,101,21,0.456987
50,0,101,13,0.306252
5,0,101,3,0.453141
50,0,101,29,0.120094
20,0,101,13,0.304537
1,0,101,2,0.462398
50,0,101,14,0.429626
2,0,101,17,0.409024
50,0,101,19,0.583272
5,0,101,11,0.441643
2,0,101,29,0.127582
5,0,101,6,0.795692
2,0,101,6,0.447878
1,0,101,12,0.430862
10,0,101,4,0.84428
1,0,101,29,0.1183
5,0,101,23,0.439316
20,0,101,24,0.437541
10,0,101,27,0.461328
20,0,101,18,0.439073
10,0,101,24,0.434071
50,0,101,9,0.81888
20,0,101,22,0.657213
2,0,101,8,0.48941
50,0,101,4,0.92517
1,0,101,27,0.468086
10,0,101,20,0.440712
10,0,101,26,0.837538
2,0,101,5,0.44954
20,0,101,23,0.220294
2,0,101,9,0.450594
2,0,101,31,0.248697
20,0,101,19,0.204617
5,0,101,7,0.435828
50,0,101,26,0.438425
1,0,101,8,0.8561
10,0,101,2,0.839378
5,0,101,30,0.458608
10,0,101,16,0.437905
1,0,101,6,0.858901
50,0,101,32,0.537367
10,0,101,22,0.443227
20,0,101,16,0.46035
2,0,101,28,0.846515
10,0,101,29,0.204984
50,0,101,20,0.431751
50,0,101,24,0.434755
1,0,101,15,0.445553
20,0,101,14,0.432657
2,0,101,23,0.229207
1,0,101,1,0.497821
10,0,101,31,0.477781
5,0,101,19,0.216685
1,0,101,10,0.42492
10,0,101,23,0.219774
10,0,101,13,0.305882
1,0,101,7,0.433843
1,0,101,18,0.820841
5,0,101,20,0.765854
10,0,101,5,0.432854
50,0,101,23,0.402449
10,0,101,30,0.45857
10,0,101,8,0.435831
20,0,101,12,0.437356
20,0,101,1,0.528588
5,0,101,32,0.435761
10,0,101,9,0.436332
10,0,101,17,0.225952
5,0,101,18,0.438396
5,0,101,9,0.436599
2,0,101,18,0.432781
1,0,101,22,0.454825
5,0,101,16,0.535434
2,0,101,21,1.248674
10,0,101,32,0.434787
20,0,101,7,0.44332
50,0,101,5,0.461501
1,0,101,23,0.228446
2,0,101,25,0.269643
50,0,101,18,0.759763
1,0,101,16,0.438545
50,0,101,21,0.443848
20,0,101,17,0.221804
5,0,101,28,0.435759
50,0,101,11,0.441246
20,0,101,31,0.2432
5,0,101,13,0.307431
5,0,101,15,0.437793
1,0,101,4,0.445365
2,0,101,11,0.80919
50,0,101,6,0.439947
20,0,101,9,0.85078
2,0,101,12,0.812099
5,0,101,14,0.765606
2,0,101,3,0.456381
50,0,101,12,0.778778
5,0,101,8,0.42874
5,0,101,1,0.525828
50,0,101,22,0.444025
1,0,101,20,0.434874
20,0,101,11,0.821636
2,0,101,14,0.452652
1,0,101,26,0.470266
50,0,101,27,0.484364
50,0,101,3,0.484866
10,0,101,14,0.439659
50,0,101,1,0.517769
10,0,101,1,0.533795
5,0,101,29,0.118417
2,0,101,16,0.44492
2,0,101,20,0.867581
5,0,101,4,0.550011
2,0,101,30,0.452558
50,0,101,8,0.432746
1,0,101,3,0.446199
1,0,101,19,0.205835
20,0,101,20,0.436198
1,0,101,32,0.835987
1,0,101,17,0.221238
2,0,101,22,0.4381
20,0,101,30,0.455125
20,0,101,25,0.274583
1,0,101,21,0.494038
10,0,101,28,0.834052
10,0,101,3,0.878305
20,0,101,15,0.445023
50,0,101,17,0.385264
2,0,101,27,0.493879
1,0,101,28,0.451869
10,0,101,11,0.430952
1,0,101,31,0.44745
2,0,101,15,0.870672
5,0,101,10,0.435911
20,0,101,4,0.447525
50,0,101,2,0.479684
5,0,101,22,0.437259
2,0,101,13,0.322574
10,0,101,21,0.453742
1,0,101,9,0.873548
1,0,101,24,0.441497
20,0,101,3,0.446994
50,0,101,15,0.434882
5,0,101,5,0.76041
20,0,101,8,0.451131
5,0,101,31,0.523131
1,0,101,14,0.440454
2,0,101,2,0.479419
50,0,101,28,0.713932
10,0,101,12,0.851428
50,0,101,16,0.773523
10,0,101,19,0.205216
20,0,101,6,0.880537
5,0,101,17,0.221011
50,0,101,30,0.46219
2,0,101,32,0.447423
10,0,101,25,0.554165
50,0,101,10,0.441574
1,0,101,13,0.380316
2,0,101,19,0.214453
20,0,101,28,0.445754
5,0,101,24,0.443187
5,0,101,25,0.270372
10,0,101,7,0.446182
50,0,101,31,0.537857
1,0,101,30,0.452721
50,0,101,7,0.447576
10,0,101,18,0.432879
5,0,101,27,0.455794
2,0,101,10,0.811583
5,0,101,26,0.431569
2,0,101,24,0.750831
10,0,101,6,0.446319
20,0,101,32,0.443703
5,0,101,2,0.478238
20,0,101,29,0.117224
20,0,101,27,1.520973
20,0,101,21,0.458707
10,0,101,15,0.747763
2,0,101,1,0.518044
20,0,101,2,0.927035
20,0,101,26,0.479443
2,0,101,26,0.432971
10,0,101,10,0.429824
20,0,101,5,0.439306
2,0,101,4,0.439835
20,0,101,10,0.771328
5,0,101,12,0.434066
1,0,101,11,0.428465
1,0,101,25,0.273357
1,0,101,5,0.8816
2,0,101,7,0.442241
5,0,101,21,0.456624
50,0,101,13,0.298094
5,0,101,3,0.459107
50,0,101,29,0.117934
20,0,101,13,0.311572
1,0,101,2,0.474642
50,0,101,14,0.4346
2,0,101,17,0.223083
50,0,101,19,0.381522
5,0,101,11,0.43511
2,0,101,29,0.117028
5,0,101,6,0.444475
2,0,101,6,0.455791
1,0,101,12,0.437827
10,0,101,4,1.01663
1,0,101,29,0.118198
5,0,101,23,0.222421
20,0,101,24,0.741051
10,0,101,27,0.452429
20,0,101,18,0.441839
10,0,101,24,0.431295
50,0,101,9,0.456692
20,0,101,22,0.445568
2,0,101,8,0.808744
50,0,101,4,0.468547
1,0,101,27,0.461857
10,0,101,20,0.4381
10,0,101,26,0.43392
2,0,101,5,0.434514
20,0,101,23,0.219903
2,0,101,9,0.442583
2,0,101,31,0.48011
50,0,101,25,0.274937
5,0,101,7,0.43727
50,0,101,26,0.44464
1,0,101,8,0.439837
10,0,101,2,0.50386
5,0,101,30,0.455771
10,0,101,16,0.433537
1,0,101,6,0.537448
50,0,101,32,0.433298
10,0,101,22,0.79639
20,0,101,16,0.442063
2,0,101,28,0.447821
10,0,101,29,0.118237
50,0,101,20,0.433321
50,0,101,24,0.763442
