query_hash,scenario_id
d8efc07d24765aee4d1f5bcd6f4c23ac1420c2594b8c264d55ba824506a7ad01,fm_a_category_state_profitability_produce_ca
d8efc07d24765aee4d1f5bcd6f4c23ac1420c2594b8c264d55ba824506a7ad01,fm_a_coverage_and_guard_mix_beer_and_wine_ca
d8efc07d24765aee4d1f5bcd6f4c23ac1420c2594b8c264d55ba824506a7ad01,fm_a_coverage_and_guard_mix_canned_foods_ca
d8efc07d24765aee4d1f5bcd6f4c23ac1420c2594b8c264d55ba824506a7ad01,fm_a_coverage_and_guard_mix_produce_ca
d8efc07d24765aee4d1f5bcd6f4c23ac1420c2594b8c264d55ba824506a7ad01,fm_a_sales_profit_month_beer_and_wine_ca
d8efc07d24765aee4d1f5bcd6f4c23ac1420c2594b8c264d55ba824506a7ad01,fm_a_sales_profit_month_canned_foods_ca
d8efc07d24765aee4d1f5bcd6f4c23ac1420c2594b8c264d55ba824506a7ad01,fm_a_sales_profit_month_produce_ca
608feee0d1670a00145c829dec4c704068466f0877ab7bcf6a1ffc79e58b86e2,fm_a_category_state_profitability_beer_and_wine_ca
608feee0d1670a00145c829dec4c704068466f0877ab7bcf6a1ffc79e58b86e2,fm_a_coverage_and_guard_mix_beer_and_wine_ca
608feee0d1670a00145c829dec4c704068466f0877ab7bcf6a1ffc79e58b86e2,fm_a_sales_profit_month_beer_and_wine_ca
7c46a85e493941f9bbe2a72624850132376b4815640f41ffe31a0534cafea2aa,fm_a_category_state_profitability_beer_and_wine_ca
7c46a85e493941f9bbe2a72624850132376b4815640f41ffe31a0534cafea2aa,fm_a_coverage_and_guard_mix_beer_and_wine_ca
7c46a85e493941f9bbe2a72624850132376b4815640f41ffe31a0534cafea2aa,fm_a_sales_profit_month_beer_and_wine_ca
2b48baf4d65e4aeb8d490d11b98fb3d2f4bd5a1eae6ec67ea0524a204639a5fb,fm_a_category_state_profitability_beer_and_wine_ca
2b48baf4d65e4aeb8d490d11b98fb3d2f4bd5a1eae6ec67ea0524a204639a5fb,fm_a_category_state_profitability_canned_foods_ca
2b48baf4d65e4aeb8d490d11b98fb3d2f4bd5a1eae6ec67ea0524a204639a5fb,fm_a_category_state_profitability_produce_ca
2b48baf4d65e4aeb8d490d11b98fb3d2f4bd5a1eae6ec67ea0524a204639a5fb,fm_a_coverage_and_guard_mix_beer_and_wine_ca
2b48baf4d65e4aeb8d490d11b98fb3d2f4bd5a1eae6ec67ea0524a204639a5fb,fm_a_coverage_and_guard_mix_canned_foods_ca
2b48baf4d65e4aeb8d490d11b98fb3d2f4bd5a1eae6ec67ea0524a204639a5fb,fm_a_coverage_and_guard_mix_produce_ca
2b48baf4d65e4aeb8d490d11b98fb3d2f4bd5a1eae6ec67ea0524a204639a5fb,fm_a_sales_profit_month_beer_and_wine_ca
2b48baf4d65e4aeb8d490d11b98fb3d2f4bd5a1eae6ec67ea0524a204639a5fb,fm_a_sales_profit_month_canned_foods_ca
2b48baf4d65e4aeb8d490d11b98fb3d2f4bd5a1eae6ec67ea0524a204639a5fb,fm_a_sales_profit_month_produce_ca
c06af3f11b2f6770e58743f6be1d4f1a1ad07ce6187d1c7a4a6a10a7bde6f71c,fm_a_category_state_profitability_beer_and_wine_ca
c06af3f11b2f6770e58743f6be1d4f1a1ad07ce6187d1c7a4a6a10a7bde6f71c,fm_a_coverage_and_guard_mix_beer_and_wine_ca
c06af3f11b2f6770e58743f6be1d4f1a1ad07ce6187d1c7a4a6a10a7bde6f71c,fm_a_sales_profit_month_beer_and_wine_ca
c06af3f11b2f6770e58743f6be1d4f1a1ad07ce6187d1c7a4a6a10a7bde6f71c,fm_a_unit_sales_month_beer_and_wine_ca
d40d8203a37c42a4d1f9aad3aca02bcfee390bd8c3dc31c98a8dd294191dda44,fm_a_category_state_profitability_beer_and_wine_ca
d40d8203a37c42a4d1f9aad3aca02bcfee390bd8c3dc31c98a8dd294191dda44,fm_a_coverage_and_guard_mix_beer_and_wine_ca
d40d8203a37c42a4d1f9aad3aca02bcfee390bd8c3dc31c98a8dd294191dda44,fm_a_sales_profit_month_beer_and_wine_ca
d40d8203a37c42a4d1f9aad3aca02bcfee390bd8c3dc31c98a8dd294191dda44,fm_a_unit_sales_month_beer_and_wine_ca
e4ba10b3e5bdb2958adfdcd4939dd619e586e17fa2a75d3dff0a35292cf27a0e,fm_a_category_state_profitability_beer_and_wine_or
e4ba10b3e5bdb2958adfdcd4939dd619e586e17fa2a75d3dff0a35292cf27a0e,fm_a_coverage_and_guard_mix_beer_and_wine_or
e4ba10b3e5bdb2958adfdcd4939dd619e586e17fa2a75d3dff0a35292cf27a0e,fm_a_sales_profit_month_beer_and_wine_or
e4ba10b3e5bdb2958adfdcd4939dd619e586e17fa2a75d3dff0a35292cf27a0e,fm_a_unit_sales_month_beer_and_wine_or
e140d0ca0ac3eefe4b35324f39a87079d276e6ca5cdca430920202f4335f4bfc,fm_a_category_state_profitability_beer_and_wine_or
e140d0ca0ac3eefe4b35324f39a87079d276e6ca5cdca430920202f4335f4bfc,fm_a_coverage_and_guard_mix_beer_and_wine_or
e140d0ca0ac3eefe4b35324f39a87079d276e6ca5cdca430920202f4335f4bfc,fm_a_sales_profit_month_beer_and_wine_or
184925560c2a5ea916ef6421023d489b03bf3fd67778c95995e3b0d4a7839f28,fm_a_coverage_and_guard_mix_beer_and_wine_or
184925560c2a5ea916ef6421023d489b03bf3fd67778c95995e3b0d4a7839f28,fm_a_sales_profit_month_beer_and_wine_or
0a476cc0615ec996e2313f587845f2a9e8e7e80f60cf10377c3fd36e6ac99b2e,fm_a_category_state_profitability_beer_and_wine_or
0a476cc0615ec996e2313f587845f2a9e8e7e80f60cf10377c3fd36e6ac99b2e,fm_a_category_state_profitability_canned_foods_or
0a476cc0615ec996e2313f587845f2a9e8e7e80f60cf10377c3fd36e6ac99b2e,fm_a_category_state_profitability_dairy_or
0a476cc0615ec996e2313f587845f2a9e8e7e80f60cf10377c3fd36e6ac99b2e,fm_a_category_state_profitability_frozen_foods_or
0a476cc0615ec996e2313f587845f2a9e8e7e80f60cf10377c3fd36e6ac99b2e,fm_a_category_state_profitability_produce_or
0a476cc0615ec996e2313f587845f2a9e8e7e80f60cf10377c3fd36e6ac99b2e,fm_a_category_state_profitability_snack_foods_or
0a476cc0615ec996e2313f587845f2a9e8e7e80f60cf10377c3fd36e6ac99b2e,fm_a_coverage_and_guard_mix_beer_and_wine_or
0a476cc0615ec996e2313f587845f2a9e8e7e80f60cf10377c3fd36e6ac99b2e,fm_a_coverage_and_guard_mix_canned_foods_or
0a476cc0615ec996e2313f587845f2a9e8e7e80f60cf10377c3fd36e6ac99b2e,fm_a_coverage_and_guard_mix_dairy_or
0a476cc0615ec996e2313f587845f2a9e8e7e80f60cf10377c3fd36e6ac99b2e,fm_a_coverage_and_guard_mix_frozen_foods_or
0a476cc0615ec996e2313f587845f2a9e8e7e80f60cf10377c3fd36e6ac99b2e,fm_a_coverage_and_guard_mix_produce_or
0a476cc0615ec996e2313f587845f2a9e8e7e80f60cf10377c3fd36e6ac99b2e,fm_a_coverage_and_guard_mix_snack_foods_or
0a476cc0615ec996e2313f587845f2a9e8e7e80f60cf10377c3fd36e6ac99b2e,fm_a_sales_profit_month_beer_and_wine_or
0a476cc0615ec996e2313f587845f2a9e8e7e80f60cf10377c3fd36e6ac99b2e,fm_a_sales_profit_month_canned_foods_or
0a476cc0615ec996e2313f587845f2a9e8e7e80f60cf10377c3fd36e6ac99b2e,fm_a_sales_profit_month_dairy_or
0a476cc0615ec996e2313f587845f2a9e8e7e80f60cf10377c3fd36e6ac99b2e,fm_a_sales_profit_month_frozen_foods_or
0a476cc0615ec996e2313f587845f2a9e8e7e80f60cf10377c3fd36e6ac99b2e,fm_a_sales_profit_month_produce_or
0a476cc0615ec996e2313f587845f2a9e8e7e80f60cf10377c3fd36e6ac99b2e,fm_a_sales_profit_month_snack_foods_or
726118c6c812bc06a7026aded1ade8fd4a61610dd83b922fde6bcf45bba73671,fm_a_category_state_profitability_beer_and_wine_or
726118c6c812bc06a7026aded1ade8fd4a61610dd83b922fde6bcf45bba73671,fm_a_category_state_profitability_canned_foods_or
726118c6c812bc06a7026aded1ade8fd4a61610dd83b922fde6bcf45bba73671,fm_a_category_state_profitability_produce_or
726118c6c812bc06a7026aded1ade8fd4a61610dd83b922fde6bcf45bba73671,fm_a_coverage_and_guard_mix_beer_and_wine_or
726118c6c812bc06a7026aded1ade8fd4a61610dd83b922fde6bcf45bba73671,fm_a_coverage_and_guard_mix_canned_foods_or
726118c6c812bc06a7026aded1ade8fd4a61610dd83b922fde6bcf45bba73671,fm_a_coverage_and_guard_mix_produce_or
726118c6c812bc06a7026aded1ade8fd4a61610dd83b922fde6bcf45bba73671,fm_a_sales_profit_month_beer_and_wine_or
726118c6c812bc06a7026aded1ade8fd4a61610dd83b922fde6bcf45bba73671,fm_a_sales_profit_month_canned_foods_or
726118c6c812bc06a7026aded1ade8fd4a61610dd83b922fde6bcf45bba73671,fm_a_sales_profit_month_produce_or
d581ab9d7b92f040e969040f591a058401d118cdd47dc30c8486ae44ec70d623,fm_a_category_state_profitability_beer_and_wine_or
d581ab9d7b92f040e969040f591a058401d118cdd47dc30c8486ae44ec70d623,fm_a_coverage_and_guard_mix_beer_and_wine_or
d581ab9d7b92f040e969040f591a058401d118cdd47dc30c8486ae44ec70d623,fm_a_sales_profit_month_beer_and_wine_or
554c6c69a042d0de01521b68cf36af74af3fa049adebf8451d921bf71e305193,fm_a_category_state_profitability_beer_and_wine_or
554c6c69a042d0de01521b68cf36af74af3fa049adebf8451d921bf71e305193,fm_a_coverage_and_guard_mix_beer_and_wine_or
554c6c69a042d0de01521b68cf36af74af3fa049adebf8451d921bf71e305193,fm_a_sales_profit_month_beer_and_wine_or
62d18180201be7983a090796f6144624d54604d8a0bb55d62908f7da02276c4c,fm_a_category_state_profitability_beer_and_wine_or
62d18180201be7983a090796f6144624d54604d8a0bb55d62908f7da02276c4c,fm_a_category_state_profitability_canned_foods_or
62d18180201be7983a090796f6144624d54604d8a0bb55d62908f7da02276c4c,fm_a_category_state_profitability_produce_or
62d18180201be7983a090796f6144624d54604d8a0bb55d62908f7da02276c4c,fm_a_coverage_and_guard_mix_beer_and_wine_or
62d18180201be7983a090796f6144624d54604d8a0bb55d62908f7da02276c4c,fm_a_coverage_and_guard_mix_canned_foods_or
62d18180201be7983a090796f6144624d54604d8a0bb55d62908f7da02276c4c,fm_a_coverage_and_guard_mix_produce_or
62d18180201be7983a090796f6144624d54604d8a0bb55d62908f7da02276c4c,fm_a_sales_profit_month_beer_and_wine_or
62d18180201be7983a090796f6144624d54604d8a0bb55d62908f7da02276c4c,fm_a_sales_profit_month_canned_foods_or
62d18180201be7983a090796f6144624d54604d8a0bb55d62908f7da02276c4c,fm_a_sales_profit_month_produce_or
eebdb6e0379453f91c2a7532f3c3b8fdccd87dad9aa42740d98ad17961c52c81,fm_a_category_state_profitability_beer_and_wine_or
eebdb6e0379453f91c2a7532f3c3b8fdccd87dad9aa42740d98ad17961c52c81,fm_a_coverage_and_guard_mix_beer_and_wine_or
eebdb6e0379453f91c2a7532f3c3b8fdccd87dad9aa42740d98ad17961c52c81,fm_a_sales_profit_month_beer_and_wine_or
eebdb6e0379453f91c2a7532f3c3b8fdccd87dad9aa42740d98ad17961c52c81,fm_a_unit_sales_month_beer_and_wine_or
049315f65976483fa04c5b0a8e6f14f9408d311a9f1f7bdfa15f247132cef85d,fm_a_category_state_profitability_beer_and_wine_or
049315f65976483fa04c5b0a8e6f14f9408d311a9f1f7bdfa15f247132cef85d,fm_a_coverage_and_guard_mix_beer_and_wine_or
049315f65976483fa04c5b0a8e6f14f9408d311a9f1f7bdfa15f247132cef85d,fm_a_sales_profit_month_beer_and_wine_or
049315f65976483fa04c5b0a8e6f14f9408d311a9f1f7bdfa15f247132cef85d,fm_a_unit_sales_month_beer_and_wine_or
bf73a75a9d6359e24709a328b87ec4303790fa19807e0f05d85b99c187722cd9,fm_a_category_state_profitability_beer_and_wine_bc
bf73a75a9d6359e24709a328b87ec4303790fa19807e0f05d85b99c187722cd9,fm_a_coverage_and_guard_mix_beer_and_wine_bc
bf73a75a9d6359e24709a328b87ec4303790fa19807e0f05d85b99c187722cd9,fm_a_sales_profit_month_beer_and_wine_bc
bf73a75a9d6359e24709a328b87ec4303790fa19807e0f05d85b99c187722cd9,fm_a_unit_sales_month_beer_and_wine_bc
bd5a545d03bc064b38ed6e23d1accf6002cf15fdfbcb7b3056191c7d5112620f,fm_a_category_state_profitability_beer_and_wine_bc
